workType,filename,parent,extent,series,title,titleAlternative,description,dateCreated,datePublished,creator,physicalDescription,physicalFormat,subjectPlace,subjectName,resourceType,collectionCallNumber,publisher,publisherHomepage,donorProvenance,rightsStatement,rightsHolder,accessRights,rightsStatus,accessionNumber,masterFilename,boxFolder
work,ms0020_neg_bv_56-42_08.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_08,ms0020_neg_bv_56-42_08.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_09.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_09,ms0020_neg_bv_56-42_09.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_10.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_10,ms0020_neg_bv_56-42_10.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_11.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_11,ms0020_neg_bv_56-42_11.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_12.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_12,ms0020_neg_bv_56-42_12.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_13.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_13,ms0020_neg_bv_56-42_13.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_14.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_14,ms0020_neg_bv_56-42_14.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_15.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_15,ms0020_neg_bv_56-42_15.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_16.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_16,ms0020_neg_bv_56-42_16.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_17.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_17,ms0020_neg_bv_56-42_17.tif,"Box 512, Folder 56-42"
