filename,work_type,parent,masterFilename,collectionCallNumber,collection,series,subseries,title,titleAlternative,creator,description,staffNote,dateCreatedDisplay,dateCreated,subjectName,subjectPlace,genre,physicalFormat,physicalDescription,language,publisher,publisherHomepage,rightsStatement,rightsHolder,accessRights,rightsStatus,resourceType,donorProvenance,accessionNumber,boxFolder
ua0036_pho_0031.tif,fileset,row:78,ua0036_pho_0031.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0031a.tif,fileset,row:78,ua0036_pho_0031a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Francis Bruennow,,,,"""A2 Bruennow 1\; v.1, p.16\; Have neg."" [Notes on album page:] ""F. Bruenow"" [Scan shows earlier accession number, ms0284_pho_.]",,,"Bruennow, F. (Franz), 1821-1891",,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0032,"Volume 1, Page 16"
ua0036_pho_0032.tif,fileset,row:81,ua0036_pho_0032.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0032a.tif,fileset,row:81,ua0036_pho_0032a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Admiral John Rodgers,,,,"""v.1 p.17\; Admiral John Rodgers"" [Notes on album page:] ""Admiral John Rodgers\; L.O. from E.S.H."" Superintendent of the United States Naval Observatory from the 1870s to his death. [Scan shows earlier accession number, ms0284_pho_.]",,,info:lc/authorities/names/n80038387,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0033,"Volume 1, Page 17"
ua0036_pho_0033.tif,fileset,row:84,ua0036_pho_0033.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0033a.tif,fileset,row:84,ua0036_pho_0033a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,C.M. (Casimir Marie) Gaudibert,,,,"""L.O. from E.S. Holden\; Gaudibert 1893"". [Notes on album page:] ""C.M. Gaudibert, 1893\; L.O. from E.S.H."" [Scan shows earlier accession number, ms0284_pho_.]",1893,1893,"Gaudibert, Casimir Marie, 1823-1901",,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0034,"Volume 1, Page 17"
ua0036_pho_0034.tif,fileset,row:87,ua0036_pho_0034.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0034a.tif,fileset,row:87,ua0036_pho_0034a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
